Código Mantenedora,Razão Social,CNPJ,Natureza Jurídica,Código IES,Instituição(IES),Sigla,Endereço,Município,UF,Organização Acadêmica,Tipo de Credenciamento,Categoria,Categoria Administrativa,CI,Ano CI,CI-EaD,Ano CI-EaD,IGC,Ano IGC,Situação
545,"IREP SOCIEDADE DE ENSINO SUPERIOR, MEDIO E FUNDAMENTAL LTDA.",02.608.755/0001-07,Privada com fins lucrativos,924,FACULDADE INTERLAGOS DE EDUCAÇÃO E CULTURA (FINTEC),FINTEC,Avenida Jangadeiro - 111 e 445 - CEP: 04815-020 - Interlagos,São Paulo,SP,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2008,-,,SC,2012,Ativa
1035,FUNDACAO DE APOIO AO DESENVOLVIMENTO EDUCACIONAL DO NOROESTE DO PARANA,03.591.907/0001-60,Privada sem fins lucrativos,1577,FACULDADE INTERMUNICIPAL DO NOROESTE DO PARANÁ (FACINOR),FACINOR,Rua Mato Grosso - 240 - CEP: 87900-000 - Alto da Glória,Loanda,PR,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2016,-,,3,2017,Ativa
16551,FUNDACAO CIDADE VIVA,09.491.298/0001-54,Privada sem fins lucrativos,21224,FACULDADE INTERNACIONAL CIDADE VIVA,-,Rua Luzia Simões Bertolini - 1º andar - 50 - CEP: 58036-630 - Aeroclube,João Pessoa,PB,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2017,-,,-,,Ativa
2003,ASPEC SOCIEDADE PARAIBANA DE EDUCACAO E CULTURA LTDA,05.247.100/0001-30,Privada com fins lucrativos,3099,FACULDADE INTERNACIONAL DA PARAÍBA (FPB),FPB,Avenida Monsenhor Walfredo Leal - 512 - CEP: 58020-540 - Tambiá,João Pessoa,PB,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,4,2017,4,2014,3,2017,Ativa
1093,INSTITUTO BRASILEIRO PARA O DESENVOLV.SUSTENTAVEL LTDA,26.387.167/0001-40,Privada com fins lucrativos,1667,FACULDADE INTERNACIONAL DE CIÊNCIAS EMPRESARIAIS (FICE),FICE,Rua Sergipe - 1000 - CEP: 30130-171 - Funcionários,Belo Horizonte,MG,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2011,-,,2,2011,Ativa
17271,ANNARR EMPREENDIMENTOS E PARTICIPACOES LTDA.,28.861.353/0001-03,Privada com fins lucrativos,16894,Faculdade Internacional de São Luís (ISL),ISL,Avenida dos Holandeses - 10 - CEP: 65071-380 - Calhau,São Luís,MA,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2019,-,,4,2017,Ativa
3155,ASSOCIACAO DOS EDUCADORES DO DELTA DO PARNAIBA - ADP,07.996.466/0001-38,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,4945,FACULDADE INTERNACIONAL DO DELTA (INTA),INTA,Rua Bel. Benjamin Constant - 540 - CEP: 64200-370 - Centro,Parnaíba,PI,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2015,-,,3,2017,Ativa
3266,INSTITUTO DE GESTAO EDUCACIONAL SIGNORELLI LTDA.,07.436.988/0001-85,Privada com fins lucrativos,5105,FACULDADE INTERNACIONAL SIGNORELLI,-,Rua Araguaia - 03 - CEP: 22745-270 - Freguesia de Jacarepaguá,Rio de Janeiro,RJ,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,4,2013,4,2017,3,2017,Ativa
1181,INSTITUTO TECNOLOGICO DO SUDOESTE PAULISTA SYLVESTRE FERRAZ EGREJA,03.370.504/0001-91,Privada sem fins lucrativos,1781,FACULDADE INTESP (INTESP),INTESP,Rua Deoclides da Silva Guidio - 469 - CEP: 18950-000 - Centro,Ipaussu,SP,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2017,-,,2,2017,Ativa
16364,INSTITUTO INVEST DE EDUCACAO CONSULTORIA E ASSESSORIA LTDA - ME,15.381.314/0001-59,Privada com fins lucrativos,3303,Faculdade Invest de Ciências e Tecnologia (INVEST),INVEST,Avenida Europa - 63 - CEP: 78065-130 - Jardim Tropical,Cuiabá,MT,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,2,2018,-,,2,2017,Ativa
16263,INSTITUTO DE PESQUISA E ENSINO MEDICO DO ESTADO DE MINAS GERAIS LTDA - EPP,07.890.065/0001-07,Privada com fins lucrativos,3839,Faculdade IPEMED de Ciências Médicas (IPEMED),IPEMED,Avenida do Contorno - 2073 e 2075 - CEP: 30110-009 - Santa Tereza,Belo Horizonte,MG,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2016,-,,2,2017,Ativa
15012,FACULDADE IRECE,10.854.658/0001-14,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Mercantil ou Comercial,15504,FACULDADE IRECÊ (FAI),FAI,RUA RIO IGUAÇÚ - 397 - CEP: 44900-000 - RECANTO DAS ÁRVORES,Irecê,BA,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2017,-,,-,,Ativa
15741,INSTITUTO SUPERIOR DE ADMINISTR E ECONOMIA DO MERCOSUL,00.929.003/0001-04,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,17590,Faculdade ISAE BRASIL (ISAE),ISAE,Avenida Visconde de Guarapuava - 2.943 - CEP: 80010-100 - Centro,Curitiba,PR,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,4,2013,4,2019,-,,Ativa
12776,SISTEMA DE ENSINO SUPERIOR CIDADE DE BELO HORIZONTE LTDA - ME,10.513.491/0001-28,Privada com fins lucrativos,13828,FACULDADE ISEIB DE BELO HORIZONTE (FIBH),FIBH,Avenida Afonso Pena - 266 - CEP: 30130-001 - Centro,Belo Horizonte,MG,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2016,-,,3,2017,Ativa
12618,SISTEMA DE ENSINO SUPERIOR CIDADE DE BETIM LTDA - ME,10.286.758/0001-91,Privada com fins lucrativos,13663,FACULDADE ISEIB DE BETIM (FISBE),FISBE,Rua do Acre - 536 - CEP: 32604-640 - Nossa Senhora das Graças,Betim,MG,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,3,2015,4,2018,3,2017,Ativa
16475,ISMD - INSTITUTO SUPERIOR DE MEDICINA E DERMATOLOGIA LTDA.,08.311.207/0001-99,Privada com fins lucrativos,21200,Faculdade ISMD (ISMD),ISMD,Avenida Coronel José Dias Bicalho - 520 - CEP: 31275-050 - São José,Belo Horizonte,MG,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2017,-,,-,,Ativa
16824,ISMD - INSTITUTO SUPERIOR DE MEDICINA E DERMATOLOGIA LTDA.,08.311.207/0002-70,Privada com fins lucrativos,22098,FACULDADE ISMD (ISMD),ISMD,Avenida Conselheiro Rodrigues Alves - 213 - CEP: 04014-010 - Vila Mariana,São Paulo,SP,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2017,-,,-,,Ativa
542,SOCIEDADE BENEF ISRAELITABRAS HOSPITAL ALBERT EINSTEIN,60.765.823/0001-30,Privada sem fins lucrativos,790,Faculdade Israelita de Ciências da Saúde Albert Einstein (FICSAE),FICSAE,Avenida Professor Francisco Morato - 4293 - CEP: 05521-200 - Butantã,São Paulo,SP,Faculdade,EAD - Lato-sensu / Presencial - Superior,Privada,Privada sem fins lucrativos,5,2017,-,,4,2017,Ativa
1115,UNIDADE DE ENSINO SUPERIOR DE ITANHAEM LTDA,02.595.335/0001-25,Privada com fins lucrativos,1693,FACULDADE ITANHAÉM (FAITA),FAITA,Avenida Embaixador Pedro de Toledo - 196 - CEP: 11740-000 - Centro,Itanhaém,SP,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2018,-,,2,2017,Ativa
12807,FACULDADE ITAPURANGA LTDA - ME,10.439.695/0001-66,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Mercantil ou Comercial,13889,FACULDADE ITAPURANGA,-,Rua 47-A Q. E - - CEP: 76680-000 - centro,Itapuranga,GO,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2017,-,,3,2017,Ativa
15224,UNIDADE DE ENSINO SUPERIOR E TECNICO ITAQUA LTDA,12.647.598/0001-94,Privada com fins lucrativos,15873,Faculdade Itaquá (UNEITAQUÁ),UNEITAQUÁ,Italo Adami - 1450 - CEP: 08573-000 - Vila Seferina,Itaquaquecetuba,SP,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,3,2018,4,2019,3,2017,Ativa
15995,INSTITUTO DE EDUCACAO PROFISSIONAL E SUPERIOR DO SERTAO CENTRAL - IDESSC,13.965.452/0001-50,Privada sem fins lucrativos,18799,Faculdade Itataia (FACIT),FACIT,Rua Professor Otávio Terceiro de Farias - 147 - CEP: 62280-000 - Afonso Walter,Santa Quitéria,CE,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2016,-,,-,,Ativa
700,INSTITUICAO TOLEDO DE ENSINO,45.024.551/0001-23,Privada sem fins lucrativos,2328,FACULDADE ITEANA DE BOTUCATU (FITB),FITB,Avenida Alcides Cagliari - 2.601 - CEP: 18606-855 - Jardim Evelyn,Botucatu,SP,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2011,-,,3,2017,Ativa
700,INSTITUICAO TOLEDO DE ENSINO,45.024.551/0001-23,Privada sem fins lucrativos,2344,FACULDADE ITEANA DE IBITINGA (FITI),FITI,Via Prefeito Alberto Alves Casemiro - 1.747 - CEP: 14940-000 - Centro,Ibitinga,SP,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,-,,-,,SC,2011,Ativa
3172,INSTITUTO TOCANTINENSE DE EDUCACAO SUPERIOR E PESQUISA LTDA - ME,07.919.717/0001-80,Privada com fins lucrativos,4969,FACULDADE ITOP (ITOP),ITOP,"Quadra ACSUSE 40, Conjunto 02, Lote 16 - S/N - CEP: 77021-634 - Centro",Palmas,TO,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,4,2019,3,2018,4,2017,Ativa
3574,ITPAC-INSTITUTO TOCANTINENSE PRESIDENTE ANTONIO CARLOS LTDA,02.941.990/0003-50,Privada com fins lucrativos,17109,FACULDADE ITPAC GARANHUNS (ITPAC-GARANHUNS),ITPAC-GARANHUNS,Rodovia BR-423 - s/n - CEP: 55297-130 - Heliópolis,Garanhuns,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2010,-,,-,,Ativa
982,INSTITUTO EDUCACIONAL JAGUARY LTDA,03.211.847/0001-03,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Mercantil ou Comercial,20406,Faculdade Jaguar Indaiá (FJI),FJI,Avenida Nove de Dezembro - 460 - CEP: 13343-060 - Jardim Pedroso,Indaiatuba,SP,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2016,-,,-,,Ativa
14790,CESUL-CENTRO DE EDUCACAO SUPERIOR LTDA - EPP,11.814.649/0001-62,Privada com fins lucrativos,15133,FACULDADE JARDINS (FACJARDINS),FACJARDINS,Avenida Ministro Geraldo Barreto Sobral - 1496 - CEP: 49025-080 - Jardins,Aracaju,SE,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,3,2011,4,2016,3,2017,Ativa
589,ASSOCIACAO JESUITA DE EDUCACAO E ASSISTENCIA SOCIAL,17.211.202/0001-85,Privada sem fins lucrativos,849,FACULDADE JESUÍTA DE FILOSOFIA E TEOLOGIA (FAJE),FAJE,Avenida Dr. Cristiano Guimarães - 2.127 - CEP: 31720-300 - Planalto,Belo Horizonte,MG,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,4,2010,-,,5,2017,Ativa
16052,MUNDIAL EDUCACIONAL LTDA,18.458.741/0001-86,Privada com fins lucrativos,18703,Faculdade JK Brasília Asa Sul II (JK),JK,Quadra SGAS 909 - 909 - CEP: 70390-090 - Asa Sul,Brasília,DF,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2015,-,,-,,Ativa
15890,JK EDUCACIONAL LTDA,17.347.405/0001-01,Privada com fins lucrativos,4042,Faculdade JK Brasília - Recanto das Emas (JK BSB RE),JK BSB RE,"SEPS 707/907, Conj. - S/N - CEP: 70390-078 - Asa Sul",Brasília,DF,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2015,-,,3,2017,Ativa
15890,JK EDUCACIONAL LTDA,17.347.405/0001-01,Privada com fins lucrativos,4199,Faculdade JK Brasília - Recanto das Emas II,-,Quadra SEPS 707/907 - S/N - CEP: 70390-078 - Asa Sul,Brasília,DF,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2015,-,,3,2017,Ativa
2508,CENACAP CENTRO NACIONAL DE CAPACITACAO PROFISSIONAL LTDA - EPP,02.880.389/0001-32,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,3980,FACULDADE JK BRASÍLIA -SAMAMBAIA,-,"SHCGN - CR Quadra 714/15 Norte, Bloco B, Lote 10 - s/n - CEP: 70760-795 - Plano Piloto",Brasília,DF,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2013,-,,2,2017,Ativa
13385,AESJK - ASSOCIACAO DE ENSINO SUPERIOR JUSCELINO KUBITSCHEK,08.611.500/0001-71,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,4173,FACULDADE JK DE TECNOLOGIA (FACJK),FACJK,Shin Ca2 - 21 - CEP: 71503-502 - Lago Norte,Brasília,DF,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2015,-,,2,2017,Ativa
1882,IDEA - BRASILIA - INSTITUTO DE DESENVOLVIMENTO EDUCACIONAL AVANCADO LTDA,04.861.294/0001-05,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,17651,FACULDADE JK - GOIAS - PADRE BERNARDO (JK),JK,Rua São Francisco - SN - CEP: 73700-000 - Setor Divinópolis,Padre Bernardo,GO,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2015,-,,-,,Ativa
1882,IDEA - BRASILIA - INSTITUTO DE DESENVOLVIMENTO EDUCACIONAL AVANCADO LTDA,04.861.294/0001-05,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,2904,FACULDADE JK - GUARÁ (JK),JK,QE - 08 - CEP: 71010-696 - Guará I,Brasília,DF,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,2,2018,-,,3,2017,Ativa
3459,ASSOCIACAO RIVAIL,09.447.899/0001-60,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,1477,Faculdade JK Michelangelo (FAJKMIC),FAJKMIC,Quadra QI 3 - 1 a 4 - CEP: 72135-030 - Setor Industrial (Taguatinga),Brasília,DF,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2015,-,,2,2017,Ativa
1882,IDEA - BRASILIA - INSTITUTO DE DESENVOLVIMENTO EDUCACIONAL AVANCADO LTDA,04.861.294/0001-05,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,3992,FACULDADE JK - PLANO PILOTO (-),-,SGAN - 913 - CEP: 70790-130 - ASA NORTE,Brasília,DF,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2015,-,,2,2017,Ativa
1278,UNIAO EDUCACIONAL SERRANA LTDA-UNISER - EPP,03.950.437/0001-84,Privada com fins lucrativos,1943,FACULDADE JK SOBRADINHO,-,Quadra 13 Área Especial - 3 - CEP: 73040-130 - Sobradinho,Brasília,DF,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2011,-,,2,2017,Ativa
3425,IDEA - INSTITUTO DE DESENVOLVIMENTO EDUCACIONAL AVANCADO S/S LTDA,08.692.649/0001-22,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,4416,FACULDADE JK - UNIDADE I - GAMA,-,Área Especial Lotes 18 a 22 - s/n - CEP: 72405-370 - Gama,Brasília,DF,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2017,-,,2,2017,Ativa
1327,FACULDADES EURO BRASILEIRAS PARA EDUCACAO SUPERIOR PRIVADA LTDA - ME,04.244.832/0001-04,Privada com fins lucrativos,2021,FACULDADE JK - UNIDADE II - GAMA,-,Área Especial Lotes 18 a 22 - s/n - CEP: 72405-370 - Gama,Brasília,DF,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2016,-,,2,2017,Ativa
15725,INSTITUICAO DE ENSINO SUPERIOR DE QUIRINOPOLIS LTDA - EPP,14.848.871/0001-74,Privada com fins lucrativos,17490,FACULDADE JOÃO PAULO II (FAJOP),FAJOP,José Joaquim Cabral - 47 A - CEP: 75860-000 - Centro,Quirinópolis,GO,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2013,-,,-,,Ativa
916,"ASSOCIACAO VALE IPOJUCA DE EDUCACAO, CIENCIA E CULTURA",01.978.120/0001-20,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,1383,FACULDADE JOSÉ LACERDA FILHO DE CIÊNCIAS APLICADAS (FAJOLCA),FAJOLCA,Avenida Francisco Alves de Souza - 500 - CEP: 55590-000 - Centro,Ipojuca,PE,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2018,-,,3,2017,Ativa
742,INSTITUTO CAPIXABA DE EDUCACAO E TECNOLOGIA,28.150.373/0001-68,Privada sem fins lucrativos,1650,FACULDADE J. SIMÕES ENSINO SUPERIOR (FABAVI),FABAVI,Rua Horácio Santana - 155 - CEP: 29200-750 - Parque da Areia Preta,Guarapari,ES,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2016,-,,SC,2012,Ativa
2415,ASSUPERO ENSINO SUPERIOR LTDA.,06.099.229/0001-01,Privada com fins lucrativos,3788,FACULDADE JUIZ DE FORA (FJF),FJF,Avenida Presidente Itamar Franco - 3180 - CEP: 36025-290 - São Mateus,Juiz de Fora,MG,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2011,-,,3,2017,Ativa
1091,COLEGIO E FACULDADE KENNEDY LTDA - EPP,21.856.984/0001-87,Privada com fins lucrativos,1665,FACULDADE KENNEDY (FK),FK,Rua Paracatu - 115 - CEP: 35930-032 - Nossa Senhora da Conceição,João Monlevade,MG,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,-,,-,,SC,2012,Ativa
17160,SEIM - SOCIEDADE EDUCACIONAL IRMAOS MUNIZ LTDA,21.351.598/0001-33,Privada com fins lucrativos,4777,FACULDADE KENNEDY DE BELO HORIZONTE (FKBH),FKBH,"Rua José Dias Vieira - 46 - CEP: 31535-040 - Rio Branco, Distrito Venda Nova",Belo Horizonte,MG,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2018,-,,3,2017,Ativa
241,FUNDACAO EDUCACIONAL MINAS GERAIS,17.314.261/0001-89,Privada sem fins lucrativos,21669,Faculdade Kennedy de Ipatinga (FKIPATINGA),FKIPATINGA,Av Japão - 601 - CEP: 35160-118 - Cariru,Ipatinga,MG,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2018,-,,-,,Ativa
17160,SEIM - SOCIEDADE EDUCACIONAL IRMAOS MUNIZ LTDA,21.351.598/0001-33,Privada com fins lucrativos,2311,FACULDADE KENNEDY DE MINAS GERAIS - FKMG (FKMG),FKMG,Rua José Dias Vieira - 46 - CEP: 31535-040 - Visconde do Rio Branco,Belo Horizonte,MG,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2019,-,,4,2017,Ativa
13650,LABORO - CENTRO DE CONSULTORIA QUALIFICAO E POS-GRADUACAO LTDA - EPP,02.517.198/0001-00,Privada com fins lucrativos,13897,FACULDADE LABORO (Laboro),Laboro,Avenida Marechal Castelo Branco - 605 - CEP: 65076-090 - SÃO FRANCISCO,São Luís,MA,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,3,2016,-,,3,2017,Ativa
417,SOCIEDADE PORVIR CIENTIFICO,92.741.990/0001-37,Privada sem fins lucrativos,1936,FACULDADE LA SALLE,-,Avenida Universitária - 1000W - CEP: 78455-000 - Bandeirantes,Lucas do Rio Verde,MT,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,5,2018,-,,3,2017,Ativa
417,SOCIEDADE PORVIR CIENTIFICO,92.741.990/0001-37,Privada sem fins lucrativos,2676,FACULDADE LA SALLE,-,Avenida Dom Pedro I - 151 - CEP: 69040-040 - Dom Pedro,Manaus,AM,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,4,2017,-,,3,2017,Ativa
417,SOCIEDADE PORVIR CIENTIFICO,92.741.990/0001-37,Privada sem fins lucrativos,13818,FACULDADE LA SALLE - CAXIAS (FACSALLE),FACSALLE,Rua Os 18 do Forte - 1754 - CEP: 95020-472 - Centro,Caxias do Sul,RS,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2016,-,,2,2017,Ativa
15953,JOVENS DA VERDADE ASSOCIACAO CIVIL,53.083.077/0001-39,Privada sem fins lucrativos,18288,Faculdade Latino-americana (FLAM),FLAM,Estrada dos Fernandes - 2680 - CEP: 07404-165 - Mirante do Arujá,Arujá,SP,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2014,3,2019,-,,Ativa
16102,SUNDETEN - SOCIEDADE UNIVERSITARIA DE DESENVOLVIMENTO EDUCACIONAL E TECNOLOGICO DO NORDESTE LTDA - EPP,17.765.240/0001-80,Privada com fins lucrativos,18729,Faculdade Latino Americano de Educação (FLAED),FLAED,Rua João Pessoa - 2270 - CEP: 65400-000 - Centro,Codó,MA,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2015,-,,-,,Ativa
14483,LEGALE - CURSOS JURIDICOS LTDA - ME,05.492.915/0001-85,Privada com fins lucrativos,1946,FACULDADE LEGALE (FALEG),FALEG,Rua da Consolação - 65 - CEP: 01301-911 - Centro,São Paulo,SP,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,3,2015,5,2018,5,2017,Ativa
314,AELBRA EDUCACAO SUPERIOR - GRADUACAO E POS-GRADUACAO S.A.,88.332.580/0001-65,Privada com fins lucrativos,2486,FACULDADE LEONARDO DA VINCI (ULBRA),ULBRA,Coronel Vicente - 281 - CEP: 90030-120 - Centro,Porto Alegre,RS,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,-,,-,,SC,2012,Ativa
821,SOCIEDADE EDUCACIONAL LEONARDO DA VINCI S/S LTDA,01.894.432/0001-56,Privada com fins lucrativos,16914,Faculdade Leonardo da Vinci - Santa Catarina,-,Rua Blumenau - 4664 - CEP: 89120-000 - Araponginha,Timbó,SC,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2016,-,,3,2017,Ativa
2445,INSTITUTO DE ENSINO E PESQUISA DO PLANALTO CENTRAL LTDA - ME,06.034.951/0001-68,Privada com fins lucrativos,3877,Faculdade Linear (LINEAR),LINEAR,Qc 08 - s/n - CEP: 72910-000 - Mansões Village,Águas Lindas de Goiás,GO,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2018,-,,4,2017,Ativa
1206,FUNDACAO EDUCACIONAL DE GOIAS,01.405.794/0001-36,Privada sem fins lucrativos,1821,FACULDADE LIONS (FAC-LIONS),FAC-LIONS,Alameda dos Bambus - - CEP: 74681-210 - Sítio de Recreio Mansões Bernardo Sayão,Goiânia,GO,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,4,2019,-,,3,2017,Ativa
15718,CENTRO DE ENSINO SUPERIOR E PESQUISA LOGOS LTDA - CESPEL,14.963.715/0001-54,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Mercantil ou Comercial,17559,FACULDADE LOGOS (FALOG),FALOG,Conjunto 01 HI Rua 1 - lotes 1 a 7 - CEP: 72860-151 - Núcleo Habitacional Novo Gama,Novo Gama,GO,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2013,-,,-,,Ativa
969,EDUCACIONAL ACADEMICO LTDA - ME,78.190.063/0001-45,Privada com fins lucrativos,1453,FACULDADE LOGOS INTERNACIONAL (FALI),FALI,Rua Antônio Volpato - 1488 - CEP: 87111-010 - Centro,Sarandi,PR,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,2,2011,-,,-,,Ativa
15657,OCESU - ORGANIZACAO CEARENSE DE EDUCACAO SUPERIOR LTDA,14.234.250/0001-09,Privada com fins lucrativos,1059,FACULDADE LOURENÇO FILHO (FLF),FLF,Rua Barão do Rio Branco - 2101 - CEP: 60025-062 - Fátima,Fortaleza,CE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2009,-,,3,2017,Ativa
2148,SANTANA INSTITUTO DE EDUCACAO SUPERIOR EIRELI,02.846.920/0001-50,Privada com fins lucrativos,3396,FACULDADE LS (FACELS),FACELS,Quadra Setor D Sul - Lote 05 - CEP: 72020-111 - Taguatinga Sul (Taguatinga),Brasília,DF,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2014,-,,3,2017,Ativa
2434,CENTRO SOCIAL CLODOVEU ARRUDA,09.533.217/0001-31,Privada sem fins lucrativos,3862,FACULDADE LUCIANO FEIJÃO (FLF),FLF,Avenida Dom José - 325 - CEP: 62010-290 - Centro,Sobral,CE,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,5,2018,-,,3,2017,Ativa
16134,UNIESP S.A,19.347.410/0001-31,Privada com fins lucrativos,3230,FACULDADE LUIZ EDUARDO MAGALHÃES (FILEM),FILEM,Avenida Juscelino Kubistcheck - Lote APMLEM 2 - CEP: 47850-000 - Loteamento Mimoso Doeste I,Luís Eduardo Magalhães,BA,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2018,-,,3,2017,Ativa
1154,ORGANIZACAO PERNAMBUCANA DE EDUCACAO CIENCIA E CULTURA,04.224.338/0001-88,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,19838,Faculdade Lusitana de Pernambuco (FALUP),FALUP,Av. Congresso Eucarístico Internacional - 01 - CEP: 55819-903 - Santa Cruz,Carpina,PE,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2018,-,,-,,Ativa
1154,ORGANIZACAO PERNAMBUCANA DE EDUCACAO CIENCIA E CULTURA,04.224.338/0001-88,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,1749,FACULDADE LUSO-BRASILEIRA (FALUB),FALUB,Avenida Congresso Eucarístico Internacional - 01 - CEP: 55811-000 - Santa Cruz,Carpina,PE,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2017,-,,3,2017,Ativa
1579,"UNIAO DE ENSINO SUPERIOR, PESQUISA E EXTENSAO CENID LTDA - ME",04.072.157/0001-83,Privada com fins lucrativos,2427,FACULDADE LUSÓFONA DA BAHIA (FL-BA),FL-BA,Rua das Hortênsias - 696 - CEP: 41810-010 - Itaigara,Salvador,BA,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2018,-,,2,2017,Ativa
2294,COMPLEXO DE ENSINO SUPERIOR DE SAO PAULO LTDA - CESUSP,05.844.842/0001-43,Privada com fins lucrativos,3618,FACULDADE LUSÓFONA DE SÃO PAULO (FL-SP),FL-SP,Estrada Municipal Walter Steurer - 1.413 - CEP: 06710-500 - Granja Viana,Cotia,SP,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2015,-,,3,2017,Ativa
